fid,survey_fid,Weather Condition,photo,date,surveyor,Townland,Existing_SMR,SMR_no,Colour,Consistency,Artifacts,Length,Depth,Description,Title/Name,Long,Lat,Theme,Link_URL,layer,image,Located
"11",,,,,,Artikelly,,,,,,,,"The WW2 Anti-Aircraft Dome Trainer located in the former Limavady Airfield, one of the most unique defence heritage sites in Northern Ireland. This building was used by the RAF to train flight bombers and gunners during the Second World War. Between 1942 and 1944 forty-four concrete and steel domes were built on airfields across the UK, and only 6 survive today, with this being the only example in Northern Ireland so its nationally significant and it protected as a scheduled archaeological site is also classified as a building at risk. Internally images of enemy aircraft were projected onto the interior of the dome and fired at by a replica anti-aircraft gun. Only half of the dome’s inner surface was used as a target screen as the rest was lined with sound absorbent material to limit echoes. Kodak and Technicolour developed a sophisticated simulator which projected film onto the interior walls of the dome via a 35mm camera which was positioned on a pair of concrete piers in the middle of the dome. Through the use of movable mirrors and cameras the image of the aircraft from the film could be projected onto the wall for the dome and moved to simulate a realistic image of being divebombed during an enemy attack. The trainee gunner was positioned behind the projector and mirror set-up at his replica gun. When the gunner pulled the trigger, a soundtrack played the noise of a firing shot with a duration of approximately five seconds, which was the time it took to empty the cartridge of ammunition. The noise of the attacking aircraft was recorded on the soundtrack of the film. The sound effects presented a realistic feeling to the trainee gunner of being attacked and having to respond. This was an immersive experience was really early stages of virtual reality in action and a forebearer of video gaming. With funding from the National Lottery Heritage Fund, and permission from the landowner, the Binevenagh and Coastal Lowlands Landscape Partnership will conserve the Limavady Dome Trainer through a strategy of curated decay. This will retain the structure in its current condition, providing only minimal localised repairs to the external render and waterproof coating, serving to arrest the ongoing decay. Inside, interpretation and the story of the Binevenagh area in WW2 will be projected on to the surface of the dome, honouring the original audio-visual function of the structure. In addition, the conserved dome will provide a multi-purpose community event space for activities, events and functions. Our application for planning permission to the conserve the dome and allow public access has been submitted, and if successful we hope to commence conservation work in early 2025 with a view to opening the facility to the public in early 2026.",RAF Anti-aircraft Training Dome,-6.934358,55.068682,Historic Environment Projects,<img src=https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-Magilligan-Excavation-Training-Dome.jpg>,Sites for Binevenagh map,https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-Magilligan-Excavation-Training-Dome.jpg,
"12",,,,,,Lower Drummans,,,,,,,,"The Heavy Anti-aircraft battery (opposite HMP Magilligan) was designed and built in 1941 to defend Lough Foyle from aerial attack. The site is currently on MOD land but through partnership with the MOD, Causeway Coast and Glens Heritage Trust (CCGHT) will be taking on a lease for the site, enabling light touch conservation to the structures, interpretation and public access to the site for the first time in over 80 years. Conservation grazing will also be re-introduced to improve the habitat which is an Area of Special Scientific Interest. The site is a scheduled archaeological monument, and therefore archaeological excavation was required to investigate the site further. This work was greatly aided thanks to the help of inmates from HMP Magilligan. CCGHT hope to have the lease agreed by the end of 2024 which will enable the planning permission application to be submitted in early 2025. To ensure the long-term maintenance of the site, we will continue our partnership with HMP Magilligan, with inmates being responsible for the general up-keep of the site.",Heavy Anti-aircraft Battery,-6.957642,55.178299,Historic Environment Projects,<img src=https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature-Anti-aircraft-Battery-1-scaled.jpg>,Sites for Binevenagh map,https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature-Anti-aircraft-Battery-1-scaled.jpg,
"13",,,,,,Mulkeeragh,,,,,,,,"From November 2021- November 2023, a group of over 20 volunteers carried out detailed fieldwork and local research to find traces of the original Ordnance Survey carried out in the area during the mid-nineteenth century. This project called 'Mapping Monuments' was led by Professor Keith Lilley from Queens University Belfast (QUB) Completed by 1846, the Ordnance Survey of Ireland, led by Lt Col Thomas Colby, was the first large-scale mapping of an entire country. The extremely flat geomorphology of the Lough Foyle Alluvial Plain played an important role during the mapping as it was the location of the Lough Foyle Baseline, a vital component which ensured the mapping was accurate. In fact, at 8 miles long, the Lough Foyle Baseline was the longest baseline of its kind anywhere in the world. Although the line is invisible, its presence is marked and protected by the three precisely aligned unique circular ‘towers’ constructed by the surveyors. These are now designated listed buildings. The Basetower at Ballykelly (HB02/10/012) is publicly accessible, while those at Minearny (HB02/09/008) and Ballymullholland (HB02/09/014) are in private ownership and can only be accessed with permission. As well as the basetowers, remnants of successive years of survey can be seen in the benchmarks (sometimes referred to as crow’s feet) which are distinctive markings that have been chiselled onto walls, buildings and bridges. Although these benchmarks have no heritage designation or protection, they are a tangible piece of heritage recognisable to the public, but under threat from development and construction. Through desk-based research, 208 potential benchmarks were identified, the locations of 146 of these were visited by volunteers of which 40 were found to still survive. The volunteers contributed 860 hours to the project. Further information on the project can be viewed <a href=""https://experience.arcgis.com/experience/c0fb603a471d4cc5928147a66077fdfc/""target=""_blank""><b>here</b></a>.<br><br>To mark the end of the project a conference was held in Ballykelly on Friday 17th November 2023. The conference was opened by broadcaster Joe Mahon who reflected on how one of the Ordnance Survey surveyors of the 1830s, John O’Donovan had influenced his career. Three of the volunteers who worked on the project (Bridgeen Rutherford, Michael Cory and Peter Wilson) each gave a presentation at the conference. The research undertaken by the volunteers was then developed into a touring exhibition. In addition to the conference and exhibition, Michael Cory, a Mapping Monuments volunteer and a retired surveyor, compiled his research into an article which was published as a free booklet ‘Mapping Monuments: The Lough Foyle Baseline’ charting the origins, practicalities and legacy of the baseline measurements.<br><br>Read the BBC report about the project, including a short video <a href=“https://www.bbc.co.uk/news/av/uk-northern-ireland-64329296""target=""_blank""><b>here</b></a>.",Ballykelly Basetower,-7.007866,55.042786,Historic Environment Projects,<img src=https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature-Ballykelly-Base-Tower-scaled.jpg>,Sites for Binevenagh map,https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature-Ballykelly-Base-Tower-scaled.jpg,
"14",,,,,,Duncrun,,,,,,,,"On Saturday 24 April 1944, a Consolidated B-24 Liberator of No. 59 Squadron RAF crashed into Binevengh Mountain on its return from Iceland to RAF Ballykelly. All nine crew members died in the crash. On 24 June 2024, a memorial will be unveiled at Aghanloo Church of Ireland to commerate the 80th anniversary of the crash and loss of life.",Crash site memorial,-6.92385,55.133301,Historic Environment Projects,<img src=https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature-Crash-Site-Memorial-scaled.jpg>,Sites for Binevenagh map,https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature-Crash-Site-Memorial-scaled.jpg,
"15",,,,,,Lower Doaghs,,,,,,,,"In Autumn 2021, archaeologists from the Centre for Community Archaeology at Queen’s University led a 4 week community archaeological dig in collaboration with the Ministry of Defence. The archaeologists were helped by a team of 13 volunteers and 171 school students from the local area. The excavation investigated 3 features commonly found on WW1 battlefields: a communication trench, a crenelated fire trench dating to 1915-16; and a possible section of frontline trench. Within the trenches, the remains of sandbag revetting and sandbag breastwork were found which provided the trenches with force protection and structural support. Very few WW1 related artefacts were found, however a ‘Silent’ screw picket was found. This type of picket was used within trench warfare to construct barbwire defences. Possible XPM wire revetment (chicken wire) commonly used to support sandbag revetting within trenches was also uncovered. The excavated features provided important evidence of the past training at Magilligan have resulted in a fuller understanding of the relict trench systems. It has proven that the earthworks are indeed WW1 practice trenches and were designed to provide new recruits with training in the practice of spadework and entrenchment. The results of the dig will inform the ongoing management of the historic elements of the military estate’s historic landscape.",Magilligan Excavation,-6.951982,55.181403,Historic Environment Projects,<img src=https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-Magilligan-Excavation-scaled.jpg>,Sites for Binevenagh map,https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-Magilligan-Excavation-scaled.jpg,
"16",,,,,,Downhill,,LDY002:022,,,,,,,Remains of a megalithic tomb,-6.803,55.168,NI Sites and Monuments Record,,,,Located
"17",,,,,,Ballykelly Level (intake),,LDY009:055,,,,,,,RAF Ballykelly - Cold War Readiness Platforms,-7.005,55.064,NI Sites and Monuments Record,,,,Located
"18",,,,,,Shanvey,,LDY 005:019,,,,,,,Bullaun stone ,-6.937,55.098,NI Sites and Monuments Record,,,,Located
"19",,,,,,Broglasco,,LDY 009:056,,,,,,,AP Cropmark,-6.99,55.069,NI Sites and Monuments Record,,,,Located
"20",,,,,,Ballywoolen,,LDY 003:085,,,,,,,Souterrain,-6.771,55.157,NI Sites and Monuments Record,,,,Located
"21",,,,,,Shanvey,,LDY005:018,,,,,,,Historic Settlement Shanvey,-6.939,55.1,NI Sites and Monuments Record,,,,Located
"22",,,,,,Ballywoolen,,LDY002:023,,,,,,,Lazy Beds,-6.775,55.161,NI Sites and Monuments Record,,,,Located
"23",,,,,,Drummans Middle,,LDY001:015,,,,,,,Patrol Base ,-6.947,55.169,NI Sites and Monuments Record,,,,Located
"24",,,,,,Doaghs Lower,,LDY001:017,,,,,,,Coast Battery Gun Site,-6.964,55.191,NI Sites and Monuments Record,,,,Located
"25",,,,,,Doaghs Lower,,LDY001:018,,,,,,,Coast Battery Gun Site,-6.964,55.191,NI Sites and Monuments Record,,,,Located
"26",,,,,,Doaghs Lower,,LDY001:019,,,,,,,Crew Shelter,-6.964,55.191,NI Sites and Monuments Record,,,,Located
"27",,,,,,Doaghs Lower,,LDY001:020,,,,,,,Pillbox,-6.964,55.19,NI Sites and Monuments Record,,,,Located
"28",,,,,,Articlave Lower,,LDY007:106,,,,,,,Historic Settlement,-6.77,55.145,NI Sites and Monuments Record,,,,Located
"29",,,,,,Artikelly,,LDY009:057,,,,,,,Historic Settlement,-6.931,55.068,NI Sites and Monuments Record,,,,Located
"30",,,,,,Pottagh,,LDY003:086,,,,,,,Enclosure,-6.748,55.156,NI Sites and Monuments Record,,,,Located
"31",,,,,,Downhill,,LDY002:024,,,,,,,Enclosure,-6.809,55.167,NI Sites and Monuments Record,,,,Located
"32",,,,,,Downhill,,LDY002:025,,,,,,,Enclosure,-6.808,55.167,NI Sites and Monuments Record,,,,Located
"33",,,,,,Downhill,,LDY002:026,,,,,,,Enclosure,-6.802,55.167,NI Sites and Monuments Record,,,,Located
"34",,,,,,Killcranny,,MRL012:024,,,,,,,Linear feature,-6.703,55.154,NI Sites and Monuments Record,,,,Located
"35",,,,,,Portstewart,,LDY003:087,,,,,,,Single find (unstratified),-6.736,55.171,NI Sites and Monuments Record,,,,Located
"36",,,,,,Carrowreagh,,LDY005:020,,,,,,,Collection of finds (unstratified),-6.988,55.117,NI Sites and Monuments Record,,,,Located
"37",,,,,,East Crossreagh,,MRL012:025,,,,,,,Submerged Landscape,-6.773,55.171,NI Sites and Monuments Record,,,,Located
"38",,,,,,Grange Beg,,MRL012:026,,,,,,,Submerged Landscape,-6.746,55.159,NI Sites and Monuments Record,,,,Located
"39",,,,,,Ardnargle,,MRL029:001,,,,,,,Tree stump (Pinus),-6.949,55.063,NI Sites and Monuments Record,,,,Located
"40",,,,,,Altibrian,,LDY006:066,,,,,,,Possible cairn (?) or field clearance?,-6.827,55.106,NI Sites and Monuments Record,,,,Located
"41",,,,,,Ballymulholland,,LDY001:023,,,,,,,Findspot of human remains —  burial ground,-6.965,55.157,NI Sites and Monuments Record,,,,Located
"42",,,,,,Drumslade,,LDY003:056,,,,,,,"ENCLOSURE (O.S. memoir site, unlocated)",-6.699,55.155,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=10495"">Open NI SMR link for this site</a>",,,Unlocated
"43",,,,,,Farranlester,,LDY003:057,,,,,,,SOUTERRAIN,-6.715,55.149,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=10496"">Open NI SMR link for this site</a>",,,Located
"44",,,,,,Garborgle,,LDY003:058,,,,,,,"MEGALITHIC TOMB? (O.S. memoir site, unlocated)",-6.714,55.155,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=10497"">Open NI SMR link for this site</a>",,,Unlocated
"45",,,,,,Killcranny,,LDY003:063,,,,,,,"CHURCH & GRAVEYARD (O.S. memoir site, unlocated)",-6.699,55.152,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=10502"">Open NI SMR link for this site</a>",,,Unlocated
"46",,,,,,Ballywoolen,,LDY003:071,,,,,,,"MEGALITHIC TOMB? (O.S. memoir site, unlocated)",-6.776,55.165,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=10510"">Open NI SMR link for this site</a>",,,Unlocated
"47",,,,,,Crossreagh East,,LDY003:077,,,,,,,WWII PILLBOX - DHP no.124,-6.728,55.171,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=10516"">Open NI SMR link for this site</a>",,,Located
"48",,,,,,Crossreagh East,,LDY003:078,,,,,,,WWII PILLBOX - DHP no.125,-6.768,55.167,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=10517"">Open NI SMR link for this site</a>",,,Located
"49",,,,,,Grange More,,LDY003:079,,,,,,,OCCUPATION SITE,-6.739,55.157,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=10518"">Open NI SMR link for this site</a>",,,Located
"50",,,,,,Ballymulholland,,LDY001:004,,,,,,,EARLY CHRISTIAN SHELL MIDDEN,-6.938,55.16,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11359"">Open NI SMR link for this site</a>",,,Located
"51",,,,,,Ballymulholland,,LDY001:005,,,,,,,SHELL MIDDEN,-6.966,55.157,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11360"">Open NI SMR link for this site</a>",,,Located
"52",,,,,,Doaghs Upper Middle,,LDY001:006,,,,,,,STANDING STONE,-6.925,55.167,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11361"">Open NI SMR link for this site</a>",,,Located
"53",,,,,,Doaghs Lower,,LDY001:007,,,,,,,BURIAL GROUND (unlocated),-6.949,55.182,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11362"">Open NI SMR link for this site</a>",,,Unlocated
"54",,,,,,Doaghs Lower,,LDY001:009,,,,,,,FINDSPOT of HUMAN REMAINS,-6.962,55.19,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11364"">Open NI SMR link for this site</a>",,,Located
"55",,,,,,Ballymulholland,,LDY001:010,,,,,,,FINDSPOT OF HUMAN REMAINS,-6.966,55.157,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11365"">Open NI SMR link for this site</a>",,,Located
"56",,,,,,Doaghs Lower,,LDY001:011,,,,,,,WWII PILLBOX - DHP NO.84,-6.955,55.19,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11366"">Open NI SMR link for this site</a>",,,Located
"57",,,,,,Clooney,,LDY001:012,,,,,,,WWII PILLBOX - DHP no.98,-6.935,55.148,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11367"">Open NI SMR link for this site</a>",,,Located
"58",,,,,,Lower Drummans,,LDY001:013,,,,,,,HEAVY ANTI-AIRCRAFT BATTERY,-6.957,55.178,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11368"">Open NI SMR link for this site</a>",,,Located
"59",,,,,,Downhill,,LDY002:001,,,,,,,CHURCH & GRAVEYARD,-6.811,55.16,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11369"">Open NI SMR link for this site</a>",,,Located
"60",,,,,,Craig,,LDY002:002,,,,,,,CHURCH & GRAVEYARD (site of): SKREEN CHURCH,-6.89,55.152,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11370"">Open NI SMR link for this site</a>",,,Located
"61",,,,,,Big Glebe,,LDY002:003,,,,,,,RAISED RATH & SOUTERRAIN (destroyed),-6.808,55.148,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11371"">Open NI SMR link for this site</a>",,,Located
"62",,,,,,Ballymoney,,LDY002:004,,,,,,,RATH,-6.787,55.148,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11372"">Open NI SMR link for this site</a>",,,Located
"63",,,,,,Carnowry,,LDY002:005,,,,,,,NON-ANTIQUITY,-6.856,55.158,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11373"">Open NI SMR link for this site</a>",,,Located
"64",,,,,,Downhill,,LDY002:006,,,,,,,PROMONTORY FORT: DUNGANNON FORT,-6.809,55.157,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11374"">Open NI SMR link for this site</a>",,,Located
"65",,,,,,Ballywoolen,,LDY002:007,,,,,,,PREHISTORIC SANDHILLS SETTLEMENT SITE,-6.774,55.162,NI Sites and Monuments Record,"<a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11375"">Open NI SMR link for this site</a>",,,Located
